delivery,Inform/Explore,13
vans,Inform/Explore,4
cement,Inform/Explore,4
mixers,Inform/Explore,5
carts,Inform/Explore,4
bicycles,Inform/Explore,5
skates,Inform/Explore,4
occupied,Inform/Explore,9
honks,Inform/Explore,4
toots,Inform/Explore,4
roars,Inform/Explore,4
thuds,Inform/Explore,7
screams,Inform/Explore,8
whistles,Inform/Explore,4
very,Inform/Explore,560
thick,Inform/Explore,7
lumpy,Inform/Explore,6
gravy,Inform/Explore,6
now,Inform/Explore,236
going,Inform/Explore,325
section,Inform/Explore,61
confusing,Inform/Explore,14
took,Inform/Explore,110
crazy,Inform/Explore,6
perplexed,Inform/Explore,1
religious,Inform/Explore,105
ideals,Inform/Explore,15
mentioned,Inform/Explore,69
those,Inform/Explore,306
vehicles,Inform/Explore,45
producing,Inform/Explore,7
simple,Inform/Explore,64
slowed,Inform/Explore,2
uses,Inform/Explore,387
tone,Inform/Explore,149
worry,Inform/Explore,33
states,Inform/Explore,506
begins,Inform/Explore,63
basically,Inform/Explore,40
since,Inform/Explore,226
produce,Inform/Explore,21
horrid,Inform/Explore,3
caused,Inform/Explore,83
ending,Inform/Explore,18
see,Inform/Explore,463
meaning,Inform/Explore,165
concocted,Inform/Explore,1
long,Inform/Explore,148
tradition,Inform/Explore,18
computational,Inform/Explore,2
linguistics,Inform/Explore,1
cognitive,Inform/Explore,11
science,Inform/Explore,38
shown,Inform/Explore,156
extract,Inform/Explore,1
empirically,Inform/Explore,1
effective,Inform/Explore,64
naturally,Inform/Explore,13
cooccur,Inform/Explore,1
target,Inform/Explore,22
term,Inform/Explore,47
vectorbased,Inform/Explore,1
representation,Inform/Explore,23
terms,Inform/Explore,50
gradually,Inform/Explore,7
known,Inform/Explore,146
studying,Inform/Explore,14
observing,Inform/Explore,6
credit,Inform/Explore,16
divides,Inform/Explore,1
labels,Inform/Explore,3
philanthropy,Inform/Explore,23
giving,Inform/Explore,132
birth,Inform/Explore,80
wise,Inform/Explore,9
